,Unnamed: 0,author,date,favorite,thumb,title,title_href
0,0.0,木公子,2018/11/24,16,7,深度复盘：转化率仅为9%，一次失败的引流课，我总结出了6个坑,http://www.woshipm.com/operate/1656931.html
1,1.0,姑婆那些事儿,2018/11/23,2,4,活动运营最愁啥？人人人人人……,http://www.woshipm.com/operate/1656743.html
2,2.0,列克星敦,2018/11/23,9,6,干货 | 掌握好这6项技能，小白也能成运营高手,http://www.woshipm.com/operate/1656643.html
3,3.0,阿嘞,2018/11/23,0,0,会员经济时代，做好会员营销的6大关键点！,http://www.woshipm.com/operate/1655683.html
4,4.0,起点学院,2018/11/23,1,0,小七带你逛起点｜网易运营总监：跟运营前辈能学到什么，不能学到什么？,http://www.woshipm.com/operate/1650997.html
5,5.0,大V姐姐,2018/11/22,72,13,从1000场活动中总结出来的思维套路模型,http://www.woshipm.com/operate/1654373.html
6,6.0,Thinker韩,2018/11/22,6,4,标品与非标品怎么定义?有什么区别?,http://www.woshipm.com/operate/1653872.html
7,7.0,数商云MA,2018/11/22,2,2,案例+方法：如何打造现金贷产品的用户增长体系,http://www.woshipm.com/operate/1653194.html
8,8.0,木木新知,2018/11/22,3,1,你并不知道，什么才是真正的用户需求,http://www.woshipm.com/operate/1653257.html
9,9.0,怪兽先森,2018/11/22,10,7,用户对你的产品很满意，为什么还是不肯下单购买？,http://www.woshipm.com/operate/1652715.html
10,10.0,姑婆那些事儿,2018/11/22,0,0,十三条从知乎引流微信的经验,http://www.woshipm.com/operate/1650009.html
11,11.0,神策数据,2018/11/22,7,4,数据驱动经验分享：从方法到实践,http://www.woshipm.com/operate/1649656.html
12,12.0,北京大兵,2018/11/22,4,1,互金运营入门指南（三）：搭建你的运营框架,http://www.woshipm.com/operate/1651440.html
13,13.0,微笑,2018/11/22,10,7,新媒体运营流程：公众号的整个生命周期,http://www.woshipm.com/operate/1651211.html
14,14.0,fantasy,2018/11/21,11,3,「foodie」近三个月的用户反馈收集、整理及输出,http://www.woshipm.com/operate/1648807.html
15,15.0,木木老贼,2018/11/21,19,16,网易连续不断打造爆款H5，说到底我们可以学什么？,http://www.woshipm.com/operate/1649467.html
16,16.0,李金鑫,2018/11/20,20,5,做产品就是谈恋爱，需要选择和某个人成为长期的合伙人,http://www.woshipm.com/operate/1647938.html
17,17.0,苏谈彬,2018/11/20,56,49,如何构建运营体系？,http://www.woshipm.com/operate/1645278.html
18,18.0,韩利,2018/11/20,24,15,人生运营指南：找个运营来作陪,http://www.woshipm.com/operate/1644742.html
19,19.0,未知素设计,2018/11/20,50,6,如何让用户快乐剁手？请看LINE FRIENDS合作会场的秘密套路,http://www.woshipm.com/operate/1641633.html
20,20.0,姑婆那些事儿,2018/11/19,10,2,写得出10W+的文章有什么了不起？能月入10W+吗？,http://www.woshipm.com/operate/1642146.html
21,21.0,翁章,2018/11/19,0,2,找到了客群，却输在了投放，ToB营销为何这么难？,http://www.woshipm.com/operate/1636490.html
22,22.0,高了了,2018/11/19,109,47,网易系H5频繁刷屏背后，是一个通用的爆款模型,http://www.woshipm.com/operate/1610222.html
23,23.0,苏谈彬,2018/11/19,12,5,如何验证一个点子靠谱不靠谱？,http://www.woshipm.com/operate/1638692.html
24,24.0,独孤伤,2018/11/19,15,9,流量池与社交基因，Luckin coffee和连咖啡的增长之战,http://www.woshipm.com/operate/1638943.html
25,25.0,95后聊科技,2018/11/18,82,35,增长黑客 | 微信读书用户裂变之路,http://www.woshipm.com/operate/1634727.html
26,26.0,王宇庭,2018/11/16,1,6,从钻石营销模式中看：最成功的内容运营策略是什么？,http://www.woshipm.com/operate/1631826.html
27,27.0,怪兽先森,2018/11/15,60,26,案例总结：线下门店如何做到两小时引流2000+人， 瞬间刷爆全城？,http://www.woshipm.com/operate/1629950.html
28,28.0,卡思数据,2018/11/15,14,6,目的不同手段也不同，从核心动机看抖音企业号运营逻辑,http://www.woshipm.com/operate/1628197.html
29,29.0,出海运营,2018/11/15,2,1,如何像TikTok那样赢得海外年轻用户？这里有3个建议,http://www.woshipm.com/operate/1630000.html
30,30.0,吴怼怼,2018/11/15,4,2,YY“走出去”三重门：跨平台、双线走、出海去,http://www.woshipm.com/operate/1629822.html
31,31.0,八爪鱼数据采集器,2018/11/15,17,9,电商运营需要了解哪些商品数据分析技巧？,http://www.woshipm.com/operate/1627820.html
32,32.0,姑婆那些事儿,2018/11/15,14,6,分享8个方法，教你做好KOL运营,http://www.woshipm.com/operate/1628945.html
33,33.0,孙小晨,2018/11/13,59,21,5000字干货：从0到1深度解析KOL运营,http://www.woshipm.com/operate/1625860.html
34,34.0,老虎讲运营,2018/11/13,39,10,运营的最高境界：控制用户行为,http://www.woshipm.com/operate/1624829.html
35,35.0,橙子,2018/11/13,6,0,解析“支付宝锦鲤”刷屏背后的秘密！,http://www.woshipm.com/operate/1622855.html
36,36.0,姑婆那些事儿,2018/11/13,24,9,运营人，这7种推广技能你必须知道！,http://www.woshipm.com/operate/1624245.html
37,37.0,swimming,2018/11/13,36,6,10条策略告诉你如何做用户召回,http://www.woshipm.com/operate/1624080.html
38,38.0,Range朗日,2018/11/13,19,10,2135亿元再创新高！2018年天猫双十一运营“套路”你知多少？,http://www.woshipm.com/operate/1624023.html
39,39.0,人人都是产品经理,2018/11/13,23,5,拆解小程序，你能从中看到多少与增长有关的东西？,http://www.woshipm.com/operate/1623539.html
40,40.0,殷为业,2018/11/12,15,1,记一个运营的“套路”,http://www.woshipm.com/operate/1623531.html
41,41.0,老湿,2018/11/12,9,6,真实案例 | 调整产品结构，仅此一招就让自助餐转亏为盈！,http://www.woshipm.com/operate/1619975.html
42,42.0,空灵,2018/11/10,45,6,公众号KOL的渠道运营避坑指南,http://www.woshipm.com/operate/1291160.html
43,43.0,独孤伤,2018/11/10,37,10,“众筹裂变”6大玩法盘点：两个关键保你实现爆发增长,http://www.woshipm.com/operate/1618257.html
44,44.0,高了了,2018/11/09,42,20,想清楚这3个问题，你就可以掌控话题运营了！,http://www.woshipm.com/operate/1610027.html
45,45.0,空灵,2018/11/09,12,5,零基础掌握主流APP应用市场渠道运营策略,http://www.woshipm.com/operate/1612952.html
46,46.0,Alice,2018/11/08,42,14,深度解析抖音背后的推广运营策略,http://www.woshipm.com/operate/1613630.html
47,47.0,木山,2018/11/08,6,6,群内又吵架了怎么办？拿好这份0事故率优质社群干货秘笈,http://www.woshipm.com/operate/1610589.html
48,48.0,杰黎,2018/11/08,16,1,双十一天猫京东打的火热，然而网易偏不按套路出牌！,http://www.woshipm.com/operate/1610261.html
49,49.0,Mark Hayes,2018/11/08,3,1,转化率提高利器之（一）再定向与客户价值历程匹配,http://www.woshipm.com/operate/1610618.html
50,50.0,程序社,2018/11/08,9,1,瑞幸咖啡：微信小程序上的咖啡外送“生意经”,http://www.woshipm.com/operate/1609085.html
51,51.0,起点学院,2018/11/08,15,2,小七带你逛起点｜运营人，需要有意识地培养自己的运营思维意识和习惯,http://www.woshipm.com/operate/1601954.html
52,52.0,北京大兵,2018/11/07,34,15,互金运营入门指南（二）：告别“你以为”和“应该是”的用户画像,http://www.woshipm.com/operate/1608491.html
53,53.0,麦文佳,2018/11/07,70,26,微信裂变如何做到单次活动增长10万微信好友？,http://www.woshipm.com/operate/1605049.html
54,54.0,迟雨落,2018/11/06,3,1,只花了1000块，我给自己的微信公众号办了场线下见面会。,http://www.woshipm.com/operate/1451864.html
55,55.0,梅花网,2018/11/06,4,2,快闪营销怎么玩？“360AI整鬼实验室”经验复盘分享,http://www.woshipm.com/operate/1602272.html
56,56.0,一念凡心,2018/11/06,18,7,以P2P为例：积分体系从0到1搭建（一）,http://www.woshipm.com/operate/1600185.html
57,57.0,Oliver,2018/11/06,91,30,干货丨裂变的天时、地利与人和,http://www.woshipm.com/operate/1600039.html
58,58.0,老虎讲运营,2018/11/06,7,2,产品推广之用户四象限,http://www.woshipm.com/operate/1599816.html
59,59.0,老湿,2018/11/06,30,6,实现品牌战略的三板斧：定位、差异化与市场细分,http://www.woshipm.com/operate/1598525.html
60,60.0,白白汤圆,2018/11/05,5,3,突破流量困境：流量思维向社群思维转变的思考,http://www.woshipm.com/operate/1595525.html
61,61.0,独孤伤,2018/11/05,33,3,两大双11玩家裂变套路大揭秘：阿里做社交，京东薅羊毛,http://www.woshipm.com/operate/1591384.html
62,62.0,列克星敦,2018/11/05,121,17,以饿了么和美团外卖为例，如何塑造互联网式的差异化,http://www.woshipm.com/operate/1593324.html
63,63.0,口口,2018/11/05,29,15,线下+线上=城市漂流瓶计划，从一个闪念到执行落地的思考总结,http://www.woshipm.com/operate/1588740.html
64,64.0,起点学院,2018/11/03,2,6,小七带你逛起点｜运营老司机和运营菜鸟的区别：快速拆解任务，多维考量执行路径,http://www.woshipm.com/operate/1586929.html
65,65.0,异次元,2018/11/02,187,59,案例复盘：3天获取10万用户，这次拉新活动我们是怎么做的,http://www.woshipm.com/operate/1586594.html
66,66.0,Carl爵爷,2018/11/02,29,6,汽车后市场模式解析之（一）：SaaS产品,http://www.woshipm.com/operate/1587045.html
67,67.0,魏家东,2018/11/02,24,2,品牌怎么做“网红”，知乎？,http://www.woshipm.com/operate/1585307.html
68,68.0,木山,2018/11/02,54,15,社群互动效率飙升500%，这是我的话术实战三板斧,http://www.woshipm.com/operate/1585395.html
69,69.0,北京大兵,2018/11/02,46,15,互金运营入门指南（一）：一篇搞懂6类互金产品,http://www.woshipm.com/operate/1585537.html
