contents,
【女生买了一支#278块的口红男友嫌贵#，骂太败家了…】近日网上一姑娘投稿称，自己花费278块钱买了一支Dior口红，高高兴兴地告诉男友，然而没想到男友的回复也是扎了心，男友痛斥女朋友太败家，男友觉得七八十块的口红自己都嫌贵，女生晒出聊天记录。对此你的看法是什么？,
"点赞就行
揪一个粉丝送Dior 740一支，明天开！",
蔡徐坤 x Dior Homme ┊ 从美国归来的机场look，对一个新人来说非常用心了：大廓形oversize的Dior Homme格纹半长外套，内搭Phillip Lim的素描狼Tee，扎进素色黑裤。在时髦的路上，这群蓄势待发的偶像练习生都不是等闲之辈。,
"去年夏天的尾巴种草了Dior喷雾粉底，想着夏天都结束了，而且家里底妆那么多，来年再买吧，就这么心心念念了一年，然而……我的色号它竟然停产了……
以后再也不想控制自己了，想要的东西该买买，该囤囤！",
跟风买的Dior 999，一点也不适合自己 不开心,
超模#卡莉·克劳斯#过去为Dior拍摄的广告大片，性感的红唇，夸张性感的卷发，满满复古画报女郎既视感~,
"Today I feel super super super happy.
I really enjoy spending time in Shine.I love all the show.I think it is pretty good!

Nothing is important but selfbuilding.
We need changes!
喜欢joyce给我们做的Dior and Lv.
Everytime we play show.We always ...全文",
凌晨睡不着爬起来看 迟了好几个月的show 看见这条Dior 走秀款黑裙瞬间满血复活 好喜欢🌝🌝 意大利 ANNA166238009654的秒拍视频,
"Roger Vivier for Dior, photographed by Paul Schutzer",
"没人知道你的口红
是Chanel,Dior
YSL还是Tom Ford
没人看清你腰上的DG
LV是真是假
钱包里有钱还是有卡
但你脸大还是脸小
腿粗还是腿细
臀翘还是不翘
三米之外就看到了",
人生不相见，动如参与商。明日隔山岳，世事两茫茫。热爱生活的人，生活也爱他。《dior戴妃包》不妄求则心安，不妄做则身安。从来不把安逸和享乐看作是生活目的本身。,
Dior护甲油功课#功课##Dior#,
"天气原因
dior999 除了雾面版这个版膏体爱挂水珠
其余滋润版 夹心版 金属版等等版本好像目前还没
再热点就不知道了
所以爱不爱挂水珠其实跟膏体本身构成也是有关联的？",
Dior740 好看,
"涂了这支口红四小时以上随便喝水之后 照了一眼我的小镜子，突然觉得hin美呀！！！🙈🙈
🎀嗯就是它了 Dior740

此处可能应该有一个什么试色之类的配图可是我
懒。🤗",
"写论文的时候只有买买买才能给生活带点甜
TF的眼影每次买回来都用的很少 我可能真的只是想拥有而已disco dust和honey moon两个大热色一直放在柜子里生灰 最爱的居然是03号cocoa mirage。。这次收了01和12
上个月买的becca的高光也还没拆封 结果又买了一直想买的dior002和double gleam
口 ...全文",
刚才突然闻到一阵Dior花漾甜心的味道，我还在想我室友为啥半夜喷香水，仔细一闻是花露水，惊了，真的好闻，我不买香水了，买隆力奇！,
House of Dior Ginza 一周年纪念 #水原希子#,
